file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
2531027C.CAD,3713,c81424af81f3,2531027,INITIAL RELEASE,115,115,0,3392,0,16,141,16,0,14,14,14,0,14,14,0,83,20,2,2,0,true,2,1
2531028C.CAD,3673,86175a70ca76,2531028,INITIAL RELEASE,113,113,0,3352,0,17,139,16,0,14,14,14,0,14,14,0,81,20,2,2,0,true,3,1
2531029C.CAD,3265,5f5cd346a255,2531029,INITIAL RELEASE,99,99,0,2944,0,16,125,16,0,14,14,14,0,14,14,0,67,20,2,2,3,true,2,1
2531030C.CAD,3889,2959b9bb0442,2531030,INITIAL RELEASE,121,121,0,3478,0,16,145,15,0,13,13,13,0,13,13,0,91,19,2,2,0,true,3,1
2531031C.CAD,2834,e6eecceb1134,2531031,INITIAL RELEASE,81,81,0,2512,0,14,105,15,0,13,13,13,0,13,13,0,51,19,2,2,0,true,2,1
2531032C.CAD,3685,3fba120a507a,2531032,INITIAL RELEASE,104,104,0,3332,0,18,134,18,0,16,16,16,16,0,16,0,68,24,2,2,0,true,2,1
2531033C.CAD,3561,58bf30efa46e,2531033,INITIAL RELEASE,97,97,0,3090,0,17,125,17,0,15,15,15,15,0,15,0,63,23,2,2,0,true,2,1
2531034C.CAD,2934,719ad085e3d8,2531034,INITIAL RELEASE,80,80,0,2580,0,14,106,16,0,14,14,14,14,0,14,0,48,22,2,2,0,true,1,1
2531035C.CAD,2552,bbe859984320,2531035,INITIAL RELEASE,68,68,0,2198,0,12,90,14,0,12,12,12,12,0,12,0,40,20,2,2,0,true,1,1
2531036C.CAD,2215,199c440df0ac,2531036,INITIAL RELEASE,61,61,0,1800,0,8,71,7,0,6,6,6,6,0,6,0,46,10,1,1,0,true,2,1
2531037C.CAD,2205,6d4db4d9db15,2531037,INITIAL RELEASE,61,61,0,1790,0,8,71,7,0,6,6,6,6,0,6,0,46,10,1,1,0,true,2,1
2531038C.CAD,2362,fb6a58391cd5,2531038,INITIAL RELEASE,67,67,0,2036,0,8,81,9,0,8,8,8,8,0,8,0,48,12,1,1,0,true,1,1
2531039C.CAD,2233,1bd030572700,2531039,INITIAL RELEASE,61,61,0,1790,0,8,71,7,0,6,6,6,6,0,6,0,46,10,1,1,0,true,2,1
